"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"4978798005322","4978798005322","学童ジャンプ傘 窓付き 黄 55cm","","","","","新品","24","24","A02-4"
"4987036412631","4987036412631","近江兄弟社 メンターム 薬用スティック レギュラー 4g","","","","","新品","1000","1000","A02-3"
"4987176027597","4987176027597","P＆G ジョイ W除菌 泡スプレー 緑茶の香り 本体 275ml","","","","","新品","17","17","C01-1"
"4990270120309","4990270120309","ディズニーリトルマーメイド 三つ折り財布 アリエル","","","","","新品","33","33","A02-4"
"4990270120316","4990270120316","塔の上のラプンツェル 三つ折り財布 ラプンツェル","","","","","新品","40","40","A02-4"
"4990270121290","4990270121290","サンダル型ポーチ スヌーピー グリーン","","","","","新品","24","24","A02-1"
"4990270122129","4990270122129","サコッシュバッグ PU ハローキティ ネイビー","","","","","新品","1","1","C01-3"
"4990270122624","4990270122624","メッシュ付ミニバッグ デニム風 ハローキティ BK","","","","","新品","6","6","C01-3"
"4990270122754","4990270122754","サコッシュバッグ PU アナと雪の女王2 BK","","","","","新品","4","4","A01-3"
"4990270122785","4990270122785","ボストンバッグ PU アナと雪の女王2 NV","","","","","新品","4","4","B02-4"
"4990270123270","4990270123270","ミニボストンバッグ PU アナと雪の女王2 BK","","","","","新品","15","15","B02-4"
"4990270123287","4990270123287","ミニボストンバッグ PU アナと雪の女王2 NV","","","","","新品","27","27","A01-5"
"8710908879500","8710908879500","Dove ボディーソープ フラワー 250ml","","","","","新品","156","156","A02-5"
"8710908882128","8710908882128","Dove ボディーソープ アボカド 250ml","","","","","新品","12","12","A02-5"
"987654321 ","987654321 ","s-fitエスフィット フェイスウォッシュ","","","","","新品","1019","1019","LB02-1"
"FT-CTHE-001-1","4580796920097","The Third CATECHIN 1箱【日本製】","","","","","新品","24","24","C01-1"
"FT-DINEW-001","4580796920172","加熱式たばこデバイス I-NEW","","","","","新品","71","71","C01-2"
"FT-DSTML-001","4580796920585","STEAM LIGHT","","","","","新品","2430","2430","MC02-3"
"FT-NECO-CTHE-001-10","4580796920103","The Third CATECHIN 10箱(1カートン) 【日本製】平型カートン","","","","","新品","39","39","A01-3"
"FT-NECO-Third-001-10","4580796920134","The Third レギュラー 10箱(1カートン) 【日本製】平型カートン","","","","","新品","12","12","A01-2"
"FT-Third-001-1","4580796920011","The Third レギュラー 1箱【日本製】","","","","","新品","572","572","C01-1"
"FT-Third-001-10","4580796920028","The Third レギュラー 10箱(1カートン) 【日本製】","","","","","新品","15","15","A01-2"
"FT-Third-002-1","4580796920035","The Third メンソール 1箱【日本製】","","","","","新品","27","27","C01-1"
"FT-Third-003-1","4580796920073","The Third ビターコーヒー 1箱【日本製】","","","","","新品","44","44","C01-1"
"FT-Third-003-10","4580796920080","The Third ビターコーヒー 10箱(1カートン)【日本製】","","","","","新品","47","47","A01-2"
